OrderID,OrderDate,Country,ProductCategory,Model,Gender,Size,SalesChannel,Quantity,UnitPrice,DiscountPercent,Revenue
23,2024-01-26,Germany,Basketball,LeBron 21,Women,11,Retail Store,2,5789,20,9262.4
24,2024-06-04,USA,Training,Air Zoom TR,Women,9,Retail Store,2,11598,0,23196.0
25,2025-07-14,India,Running,Air Zoom Alphafly,Women,10,Online,2,8299,20,13278.4
26,2025-04-29,India,Lifestyle,Air Max 90,Unisex,10,Retail Store,2,11083,5,21057.7
27,2025-11-19,Germany,Training,Metcon 9,Women,11,Retail Store,2,13491,5,25632.9
28,2024-07-04,Germany,Lifestyle,Air Force 1,Men,8,Retail Store,1,11433,5,10861.35
29,2025-02-17,UK,Running,Air Zoom Alphafly,Women,6,Retail Store,1,8390,15,7131.5
30,2025-06-01,India,Training,Free Metcon,Women,7,Retail Store,2,8644,10,15559.2
31,2024-08-10,UK,Lifestyle,Air Max 90,Women,10,Retail Store,2,8394,20,13430.4
32,2024-11-05,UK,Training,Air Zoom TR,Women,7,Online,1,10475,15,8903.75
33,2024-10-25,USA,Lifestyle,Air Max 90,Women,6,Retail Store,3,12283,20,29479.2
34,2025-03-08,UK,Basketball,KD 16,Men,11,Retail Store,1,7239,15,6153.15
35,2025-07-26,UK,Lifestyle,Blazer Mid,Men,9,Online,2,8537,5,16220.3
36,2025-10-20,Germany,Running,React Infinity Run,Unisex,7,Retail Store,2,6720,0,13440.0
37,2024-08-10,Germany,Lifestyle,Air Max 90,Unisex,9,Retail Store,1,11741,5,11153.95
38,2025-03-07,USA,Training,Metcon 9,Unisex,11,Retail Store,3,6513,5,18562.05
39,2025-02-24,UK,Lifestyle,Air Force 1,Men,9,Online,2,10981,5,20863.9
40,2025-05-14,UK,Lifestyle,Blazer Mid,Women,6,Online,3,4364,0,13092.0
41,2025-02-28,UK,Running,React Infinity Run,Women,6,Retail Store,3,9958,0,29874.0
42,2025-06-24,USA,Running,Air Zoom Pegasus,Women,8,Online,1,8793,10,7913.7
43,2025-04-27,USA,Basketball,KD 16,Women,11,Retail Store,3,12160,20,29184.0
44,2024-05-19,Germany,Lifestyle,Air Max 90,Women,10,Online,3,4179,5,11910.15
45,2025-05-13,India,Basketball,LeBron 21,Men,10,Online,1,5186,20,4148.8
46,2024-08-05,USA,Running,Air Zoom Pegasus,Men,10,Retail Store,1,4352,15,3699.2
47,2025-03-01,USA,Training,Free Metcon,Men,11,Retail Store,3,9344,15,23827.2
48,2025-10-03,India,Basketball,LeBron 21,Unisex,8,Online,3,4117,5,11733.45
49,2025-11-09,UK,Lifestyle,Air Force 1,Men,11,Retail Store,3,14829,10,40038.3
50,2025-07-22,UK,Lifestyle,Air Force 1,Men,8,Online,3,8477,15,21616.35
51,2024-06-20,India,Lifestyle,Blazer Mid,Women,7,Retail Store,1,11012,15,9360.2
52,2025-12-16,Germany,Training,Free Metcon,Men,7,Retail Store,2,13753,5,26130.7
53,2025-05-16,Germany,Basketball,KD 16,Men,6,Online,1,8018,0,8018.0
54,2025-11-23,India,Training,Air Zoom TR,Unisex,8,Online,3,7380,10,19926.0
55,2025-12-03,India,Running,React Infinity Run,Women,10,Online,2,5613,15,9542.1
56,2024-01-12,Germany,Lifestyle,Blazer Mid,Women,7,Retail Store,2,5879,20,9406.4
57,2024-07-10,Germany,Basketball,LeBron 21,Unisex,9,Retail Store,1,14538,15,12357.3
58,2025-07-18,Germany,Lifestyle,Air Max 90,Women,9,Retail Store,3,12978,20,31147.2
59,2025-01-14,USA,Lifestyle,Blazer Mid,Men,8,Retail Store,3,14361,10,38774.7
60,2025-12-20,UK,Running,Air Zoom Alphafly,Men,11,Retail Store,2,7756,15,13185.2
61,2025-06-22,India,Lifestyle,Air Force 1,Women,6,Online,2,14615,5,27768.5
62,2025-02-13,India,Running,Air Zoom Alphafly,Women,11,Retail Store,2,13116,0,26232.0
63,2025-01-24,UK,Running,Air Zoom Alphafly,Men,6,Retail Store,1,9692,10,8722.8
64,2025-04-13,Germany,Lifestyle,Blazer Mid,Men,11,Retail Store,1,8803,5,8362.85
65,2025-07-06,India,Basketball,LeBron 21,Men,11,Online,1,9086,10,8177.4
66,2024-11-12,USA,Lifestyle,Air Force 1,Men,7,Retail Store,3,7160,0,21480.0
67,2025-08-03,India,Basketball,Air Jordan 1,Men,8,Online,2,12903,10,23225.4
68,2024-08-01,USA,Training,Metcon 9,Unisex,11,Retail Store,3,6648,5,18946.8
69,2024-08-01,USA,Running,React Infinity Run,Men,7,Online,2,9308,10,16754.4
70,2025-04-21,Germany,Basketball,KD 16,Women,6,Retail Store,3,9827,0,29481.0
71,2024-10-22,UK,Training,Metcon 9,Men,8,Online,1,11986,5,11386.7
72,2025-08-30,Germany,Basketball,Air Jordan 1,Women,6,Online,3,9769,0,29307.0
73,2024-09-07,Germany,Running,React Infinity Run,Unisex,11,Online,1,13554,20,10843.2
74,2025-06-07,Germany,Training,Air Zoom TR,Women,7,Retail Store,3,9854,10,26605.8
75,2024-07-15,India,Lifestyle,Air Max 90,Women,6,Online,3,5785,5,16487.25
76,2024-10-03,UK,Lifestyle,Blazer Mid,Men,7,Retail Store,1,11727,20,9381.6
77,2024-06-11,India,Training,Free Metcon,Unisex,9,Retail Store,2,6597,0,13194.0
78,2024-10-09,UK,Basketball,Air Jordan 1,Women,10,Retail Store,3,8298,20,19915.2
79,2024-10-09,Germany,Lifestyle,Blazer Mid,Unisex,8,Online,1,11952,15,10159.2
80,2024-12-13,Germany,Training,Metcon 9,Women,8,Online,3,4986,0,14958.0
81,2025-09-11,Germany,Basketball,Air Jordan 1,Unisex,10,Retail Store,3,13228,10,35715.6
82,2025-09-12,India,Basketball,LeBron 21,Men,8,Retail Store,1,11769,15,10003.65
83,2024-11-19,Germany,Basketball,LeBron 21,Men,6,Retail Store,1,11939,0,11939.0
84,2025-07-07,Germany,Training,Free Metcon,Women,9,Retail Store,2,14447,0,28894.0
85,2025-02-04,Germany,Training,Metcon 9,Women,6,Online,1,7081,0,7081.0
86,2024-05-09,UK,Basketball,Air Jordan 1,Unisex,6,Online,3,6107,0,18321.0
87,2025-08-03,USA,Running,Air Zoom Alphafly,Men,9,Retail Store,3,6933,5,19759.05
88,2025-05-29,UK,Basketball,Air Jordan 1,Men,10,Online,1,9006,5,8555.7
89,2024-05-04,Germany,Basketball,LeBron 21,Women,6,Retail Store,2,9830,15,16711.0
90,2025-08-17,USA,Basketball,KD 16,Men,9,Retail Store,2,5690,20,9104.0
91,2024-03-03,Germany,Lifestyle,Air Max 90,Men,6,Online,2,14973,10,26951.4
92,2024-07-21,USA,Running,Air Zoom Pegasus,Unisex,9,Retail Store,3,7006,5,19967.1
93,2025-06-08,USA,Training,Metcon 9,Women,9,Retail Store,1,10007,15,8505.95
94,2025-04-16,UK,Basketball,KD 16,Unisex,10,Retail Store,1,11928,0,11928.0
95,2024-07-09,UK,Lifestyle,Blazer Mid,Unisex,6,Online,3,14093,10,38051.1
96,2024-02-02,India,Basketball,Air Jordan 1,Unisex,6,Online,2,12378,0,24756.0
97,2024-08-15,UK,Training,Air Zoom TR,Women,10,Retail Store,3,12431,20,29834.4
98,2025-05-14,Germany,Training,Air Zoom TR,Men,6,Retail Store,1,11432,10,10288.8
99,2025-03-14,USA,Running,React Infinity Run,Unisex,10,Retail Store,3,8725,20,20940.0
100,2025-01-29,Germany,Lifestyle,Blazer Mid,Unisex,9,Retail Store,2,12759,20,20414.4
101,2024-03-08,India,Basketball,Air Jordan 1,Unisex,9,Online,3,11002,5,31355.7
102,2025-09-21,India,Training,Metcon 9,Women,9,Retail Store,2,12831,5,24378.9
103,2024-12-06,USA,Running,React Infinity Run,Men,7,Online,1,8537,15,7256.45
104,2025-09-25,Germany,Training,Free Metcon,Women,6,Retail Store,2,6985,5,13271.5
105,2025-09-01,UK,Basketball,LeBron 21,Unisex,7,Online,2,7988,15,13579.6
106,2024-03-30,UK,Basketball,LeBron 21,Unisex,7,Online,1,4256,0,4256.0
107,2025-04-27,India,Running,Air Zoom Pegasus,Unisex,11,Online,3,4037,0,12111.0
108,2025-12-23,USA,Basketball,Air Jordan 1,Unisex,10,Online,2,12652,10,22773.6
109,2024-07-31,USA,Basketball,Air Jordan 1,Men,9,Online,1,5832,0,5832.0
110,2025-07-26,UK,Running,Air Zoom Pegasus,Women,9,Retail Store,1,9167,0,9167.0
111,2025-08-01,Germany,Training,Free Metcon,Unisex,7,Retail Store,3,8151,0,24453.0
112,2024-11-25,UK,Running,Air Zoom Pegasus,Women,10,Online,1,5751,0,5751.0
113,2025-03-25,Germany,Running,React Infinity Run,Unisex,9,Retail Store,1,4256,5,4043.2
114,2025-03-22,India,Basketball,Air Jordan 1,Unisex,11,Retail Store,2,6096,10,10972.8
115,2024-01-05,USA,Running,React Infinity Run,Women,11,Retail Store,3,6460,5,18411.0
116,2025-06-17,UK,Running,Air Zoom Pegasus,Women,11,Online,2,5975,0,11950.0
117,2024-09-15,USA,Lifestyle,Air Max 90,Unisex,8,Retail Store,2,8515,20,13624.0
118,2024-03-24,USA,Lifestyle,Air Max 90,Unisex,9,Retail Store,1,13776,15,11709.6
119,2025-05-11,India,Training,Air Zoom TR,Men,8,Retail Store,2,10786,10,19414.8
120,2024-09-23,USA,Basketball,LeBron 21,Women,9,Retail Store,1,4976,5,4727.2
121,2025-02-06,USA,Training,Air Zoom TR,Women,10,Online,1,4045,5,3842.75
122,2025-06-03,Germany,Running,Air Zoom Pegasus,Unisex,7,Online,3,8512,10,22982.4
123,2024-07-15,India,Lifestyle,Blazer Mid,Unisex,9,Retail Store,3,7219,20,17325.6
124,2025-12-05,Germany,Training,Metcon 9,Unisex,7,Retail Store,2,13280,0,26560.0
125,2025-01-09,USA,Running,React Infinity Run,Men,6,Retail Store,2,9323,0,18646.0
126,2025-05-30,USA,Training,Air Zoom TR,Men,7,Retail Store,2,7644,10,13759.2
127,2024-05-22,USA,Training,Free Metcon,Men,7,Retail Store,3,6108,5,17407.8
128,2024-10-02,USA,Training,Air Zoom TR,Unisex,7,Retail Store,3,13434,15,34256.7
129,2025-07-22,UK,Training,Air Zoom TR,Women,10,Online,2,9279,0,18558.0
130,2024-05-04,Germany,Training,Free Metcon,Unisex,9,Retail Store,3,8332,10,22496.4
131,2025-08-08,Germany,Running,Air Zoom Alphafly,Men,6,Retail Store,1,7900,20,6320.0
132,2025-11-15,USA,Lifestyle,Air Force 1,Men,11,Retail Store,2,11939,10,21490.2
133,2024-07-28,USA,Running,Air Zoom Alphafly,Men,11,Online,3,8568,10,23133.6
134,2024-12-22,Germany,Training,Air Zoom TR,Men,9,Online,2,5845,0,11690.0
135,2025-06-26,Germany,Basketball,Air Jordan 1,Women,10,Retail Store,1,11069,10,9962.1
136,2025-02-24,India,Basketball,LeBron 21,Women,7,Retail Store,1,5509,20,4407.2
137,2025-11-21,UK,Lifestyle,Blazer Mid,Unisex,8,Retail Store,3,4879,10,13173.3
138,2025-10-27,UK,Basketball,KD 16,Unisex,10,Online,3,13764,0,41292.0
139,2025-12-16,UK,Lifestyle,Air Max 90,Women,7,Retail Store,3,5359,20,12861.6
140,2025-12-18,UK,Lifestyle,Air Max 90,Men,9,Online,2,7960,15,13532.0
141,2024-02-18,India,Running,Air Zoom Alphafly,Unisex,9,Retail Store,3,8217,0,24651.0
142,2025-09-02,Germany,Running,Air Zoom Alphafly,Men,7,Retail Store,1,11833,5,11241.35
143,2024-10-04,Germany,Basketball,LeBron 21,Unisex,6,Retail Store,3,4667,0,14001.0
144,2024-04-22,UK,Training,Free Metcon,Women,6,Retail Store,3,13636,5,38862.6
145,2024-10-23,USA,Lifestyle,Air Force 1,Men,10,Retail Store,1,10823,20,8658.4
146,2024-01-13,USA,Running,Air Zoom Pegasus,Unisex,8,Retail Store,1,10604,10,9543.6
147,2024-08-09,India,Lifestyle,Air Max 90,Men,10,Retail Store,1,13103,10,11792.7
148,2024-08-12,Germany,Training,Air Zoom TR,Men,9,Online,2,11785,15,20034.5
149,2025-03-02,India,Basketball,KD 16,Women,8,Retail Store,3,6685,5,19052.25
150,2025-08-29,USA,Training,Metcon 9,Men,8,Retail Store,1,5848,0,5848.0
151,2024-12-10,UK,Basketball,Air Jordan 1,Men,10,Online,3,10338,15,26361.9
152,2025-06-10,UK,Lifestyle,Air Max 90,Unisex,9,Retail Store,1,5298,0,5298.0
153,2025-11-16,USA,Running,Air Zoom Alphafly,Unisex,10,Retail Store,3,14220,5,40527.0
154,2024-04-23,UK,Running,React Infinity Run,Men,7,Retail Store,1,6646,5,6313.7
155,2025-02-02,India,Lifestyle,Blazer Mid,Men,6,Online,2,6289,10,11320.2
156,2024-12-09,USA,Basketball,LeBron 21,Men,7,Online,3,7872,10,21254.4
157,2024-11-07,USA,Lifestyle,Air Force 1,Women,7,Online,1,4765,20,3812.0
158,2025-02-10,USA,Lifestyle,Air Max 90,Women,11,Online,2,14164,10,25495.2
159,2025-03-03,USA,Training,Metcon 9,Men,7,Retail Store,3,9968,10,26913.6
160,2024-10-04,India,Lifestyle,Blazer Mid,Women,6,Online,2,6181,10,11125.8
161,2024-10-24,UK,Lifestyle,Air Force 1,Men,10,Online,1,4840,5,4598.0
162,2024-04-04,Germany,Basketball,KD 16,Women,7,Retail Store,1,14846,15,12619.1
163,2024-11-27,India,Lifestyle,Air Force 1,Unisex,9,Retail Store,3,4565,20,10956.0
164,2025-09-25,USA,Training,Air Zoom TR,Men,7,Online,3,13187,10,35604.9
165,2024-09-05,UK,Basketball,Air Jordan 1,Women,9,Retail Store,3,8311,0,24933.0
166,2024-07-19,India,Training,Free Metcon,Men,10,Online,1,6982,5,6632.9
167,2025-02-24,UK,Lifestyle,Blazer Mid,Women,11,Online,3,4556,15,11617.8
168,2024-01-01,Germany,Training,Free Metcon,Men,11,Retail Store,1,6580,10,5922.0
169,2024-02-26,UK,Running,Air Zoom Pegasus,Unisex,7,Online,1,12243,5,11630.85
170,2025-01-26,UK,Running,React Infinity Run,Unisex,9,Online,3,8019,10,21651.3
171,2025-03-20,Germany,Training,Air Zoom TR,Women,10,Retail Store,1,13840,15,11764.0
172,2024-12-28,UK,Basketball,KD 16,Men,6,Online,2,8927,20,14283.2
173,2025-06-21,India,Running,Air Zoom Alphafly,Women,8,Retail Store,2,5074,20,8118.4
174,2025-08-18,USA,Running,Air Zoom Alphafly,Women,6,Retail Store,3,10763,10,29060.1
175,2025-08-06,UK,Lifestyle,Blazer Mid,Men,9,Online,2,13193,5,25066.7
176,2025-07-14,UK,Basketball,Air Jordan 1,Men,11,Retail Store,1,6338,20,5070.4
177,2025-07-25,India,Running,Air Zoom Pegasus,Women,8,Retail Store,2,14731,0,29462.0
178,2024-04-15,Germany,Basketball,LeBron 21,Unisex,7,Online,3,11234,20,26961.6
179,2025-01-05,India,Training,Free Metcon,Unisex,9,Online,3,14524,0,43572.0
180,2025-01-06,UK,Training,Air Zoom TR,Men,8,Online,1,8284,20,6627.2
181,2025-03-01,USA,Running,React Infinity Run,Women,8,Online,2,14073,15,23924.1
182,2025-05-17,India,Training,Air Zoom TR,Unisex,6,Online,1,9901,5,9405.95
183,2025-05-25,India,Basketball,KD 16,Unisex,7,Retail Store,3,6464,10,17452.8
184,2025-11-18,USA,Training,Free Metcon,Women,7,Retail Store,3,13044,0,39132.0
185,2024-04-23,USA,Running,Air Zoom Alphafly,Men,7,Retail Store,3,12643,20,30343.2
186,2025-01-31,India,Training,Metcon 9,Unisex,6,Online,1,11338,20,9070.4
187,2025-02-22,India,Training,Free Metcon,Unisex,10,Retail Store,2,9241,10,16633.8
188,2025-05-21,India,Training,Metcon 9,Unisex,6,Online,2,8695,10,15651.0
189,2024-07-01,UK,Lifestyle,Blazer Mid,Women,6,Retail Store,1,6588,15,5599.8
190,2025-05-22,USA,Training,Free Metcon,Unisex,8,Online,3,7520,15,19176.0
191,2025-06-04,Germany,Lifestyle,Air Max 90,Men,6,Online,1,7218,0,7218.0
192,2025-03-02,India,Training,Free Metcon,Unisex,9,Retail Store,2,14573,0,29146.0
193,2024-05-22,USA,Running,Air Zoom Alphafly,Women,11,Retail Store,1,11034,15,9378.9
194,2025-09-03,USA,Lifestyle,Air Force 1,Unisex,8,Online,1,8428,0,8428.0
195,2025-05-13,UK,Running,React Infinity Run,Unisex,7,Online,3,13522,0,40566.0
196,2025-04-30,USA,Running,Air Zoom Alphafly,Men,8,Retail Store,1,10468,0,10468.0
197,2025-02-19,Germany,Training,Air Zoom TR,Women,11,Online,2,4864,20,7782.4
198,2025-10-27,USA,Running,Air Zoom Pegasus,Men,6,Online,2,12663,5,24059.7
199,2025-04-13,UK,Running,Air Zoom Alphafly,Unisex,6,Online,1,5502,20,4401.6
200,2025-07-05,UK,Basketball,Air Jordan 1,Women,8,Retail Store,3,7770,5,22144.5
201,2024-06-27,India,Running,Air Zoom Pegasus,Women,6,Retail Store,2,7483,10,13469.4
202,2024-11-15,India,Training,Metcon 9,Men,9,Online,3,13183,20,31639.2
203,2025-12-10,Germany,Running,Air Zoom Alphafly,Men,11,Online,1,7041,0,7041.0
204,2025-01-14,UK,Running,Air Zoom Alphafly,Unisex,9,Retail Store,1,11287,10,10158.3
205,2024-05-07,UK,Running,Air Zoom Alphafly,Unisex,10,Retail Store,1,12123,20,9698.4
206,2025-03-28,UK,Training,Air Zoom TR,Women,6,Online,1,10806,15,9185.1
207,2025-10-09,UK,Basketball,Air Jordan 1,Unisex,7,Online,2,5631,20,9009.6
208,2025-12-27,Germany,Basketball,Air Jordan 1,Unisex,6,Retail Store,3,10107,20,24256.8
209,2024-12-03,India,Lifestyle,Air Max 90,Women,9,Online,3,8019,15,20448.45
210,2024-02-02,Germany,Lifestyle,Air Max 90,Unisex,9,Retail Store,2,7012,0,14024.0
211,2025-04-07,UK,Running,React Infinity Run,Women,8,Retail Store,1,11973,5,11374.35
212,2024-05-09,India,Basketball,KD 16,Unisex,11,Online,2,11961,0,23922.0
213,2024-07-17,USA,Lifestyle,Air Max 90,Women,11,Retail Store,3,10655,5,30366.75
214,2024-07-16,India,Training,Metcon 9,Unisex,9,Online,1,12480,15,10608.0
215,2024-08-02,Germany,Lifestyle,Air Max 90,Unisex,11,Online,1,13900,5,13205.0
216,2025-01-12,UK,Basketball,LeBron 21,Men,7,Retail Store,3,11249,15,28684.95
217,2024-06-12,India,Running,React Infinity Run,Men,7,Online,2,8928,5,16963.2
218,2024-07-09,UK,Lifestyle,Air Force 1,Women,6,Retail Store,1,6690,15,5686.5
219,2025-10-12,USA,Basketball,LeBron 21,Unisex,7,Retail Store,3,13433,0,40299.0
220,2024-06-05,UK,Training,Air Zoom TR,Women,10,Retail Store,2,4690,5,8911.0
221,2025-10-25,India,Training,Free Metcon,Unisex,10,Online,2,4892,10,8805.6
222,2025-08-29,USA,Running,React Infinity Run,Women,6,Online,2,14720,5,27968.0
223,2024-08-23,Germany,Training,Air Zoom TR,Men,10,Online,1,4897,20,3917.6
224,2025-01-29,USA,Running,Air Zoom Pegasus,Men,7,Online,3,11768,10,31773.6
225,2024-01-09,Germany,Training,Air Zoom TR,Women,7,Retail Store,1,4415,20,3532.0
226,2024-04-02,UK,Lifestyle,Blazer Mid,Women,9,Retail Store,3,14623,15,37288.65
227,2025-11-15,UK,Running,Air Zoom Pegasus,Women,10,Online,2,9640,0,19280.0
228,2025-12-18,Germany,Basketball,KD 16,Unisex,8,Online,1,4992,5,4742.4
229,2025-01-02,India,Lifestyle,Air Max 90,Men,8,Retail Store,3,5773,15,14721.15
230,2024-11-27,UK,Basketball,LeBron 21,Unisex,6,Retail Store,2,7816,5,14850.4
231,2025-11-04,India,Running,Air Zoom Pegasus,Men,10,Online,1,6373,0,6373.0
232,2025-09-08,USA,Training,Metcon 9,Women,6,Retail Store,1,12899,15,10964.15
233,2024-07-08,UK,Training,Free Metcon,Women,6,Retail Store,3,14326,10,38680.2
234,2025-01-19,India,Training,Metcon 9,Women,9,Online,2,8535,15,14509.5
235,2025-05-06,USA,Running,Air Zoom Pegasus,Women,8,Online,1,4734,20,3787.2
236,2025-11-26,USA,Running,Air Zoom Pegasus,Unisex,8,Retail Store,1,4632,0,4632.0
237,2024-03-13,India,Training,Metcon 9,Unisex,8,Retail Store,3,8268,15,21083.4
238,2025-05-02,USA,Running,React Infinity Run,Men,8,Retail Store,2,5663,5,10759.7
239,2025-07-04,India,Basketball,Air Jordan 1,Women,6,Online,2,14822,0,29644.0
240,2024-12-26,India,Basketball,KD 16,Men,6,Retail Store,3,12572,15,32058.6
241,2024-04-20,Germany,Training,Air Zoom TR,Unisex,10,Online,3,14583,0,43749.0
242,2025-07-26,UK,Training,Free Metcon,Women,9,Online,2,14939,5,28384.1
243,2024-08-17,UK,Training,Free Metcon,Women,6,Online,3,13399,0,40197.0
244,2025-04-08,Germany,Training,Metcon 9,Unisex,10,Online,2,7663,15,13027.1
245,2025-09-20,UK,Running,React Infinity Run,Unisex,6,Online,3,10780,10,29106.0
246,2024-12-09,India,Running,Air Zoom Pegasus,Women,9,Online,3,4096,10,11059.2
247,2025-02-08,USA,Running,Air Zoom Pegasus,Men,9,Retail Store,1,9397,0,9397.0
248,2024-04-08,India,Running,React Infinity Run,Men,8,Online,1,4456,10,4010.4
249,2024-11-03,UK,Basketball,KD 16,Men,8,Online,1,8088,20,6470.4
250,2024-03-13,USA,Basketball,LeBron 21,Women,7,Online,2,5146,0,10292.0
251,2025-05-26,India,Lifestyle,Air Force 1,Unisex,11,Online,1,8299,0,8299.0
252,2024-03-10,Germany,Lifestyle,Blazer Mid,Unisex,10,Retail Store,3,14756,10,39841.2
253,2024-08-12,India,Running,Air Zoom Pegasus,Women,9,Online,2,8784,5,16689.6
254,2025-07-28,USA,Lifestyle,Blazer Mid,Unisex,10,Online,1,5461,20,4368.8
255,2024-02-11,Germany,Running,React Infinity Run,Unisex,8,Online,3,14233,0,42699.0
256,2025-10-18,UK,Training,Free Metcon,Unisex,10,Online,2,13910,10,25038.0
257,2024-10-05,USA,Basketball,LeBron 21,Men,7,Online,2,4689,20,7502.4
258,2025-08-18,Germany,Training,Free Metcon,Women,10,Retail Store,3,9664,5,27542.4
259,2025-05-09,Germany,Basketball,LeBron 21,Unisex,9,Retail Store,1,4952,0,4952.0
260,2025-08-20,UK,Lifestyle,Blazer Mid,Women,10,Retail Store,3,6484,0,19452.0
261,2024-04-22,Germany,Lifestyle,Air Force 1,Men,8,Online,2,11829,10,21292.2
262,2025-05-29,India,Lifestyle,Blazer Mid,Men,11,Online,1,14383,15,12225.55
263,2024-05-20,India,Training,Free Metcon,Unisex,10,Retail Store,1,11743,10,10568.7
264,2025-12-10,USA,Lifestyle,Blazer Mid,Men,9,Retail Store,1,10839,20,8671.2
265,2025-07-14,UK,Training,Air Zoom TR,Unisex,6,Retail Store,1,11938,10,10744.2
266,2024-11-30,Germany,Lifestyle,Blazer Mid,Men,6,Online,1,7285,5,6920.75
267,2025-10-10,Germany,Basketball,LeBron 21,Men,7,Online,1,8584,5,8154.8
268,2025-06-13,USA,Running,React Infinity Run,Men,6,Retail Store,2,10182,10,18327.6
269,2025-10-18,UK,Lifestyle,Blazer Mid,Unisex,11,Online,1,5040,5,4788.0
270,2024-08-23,USA,Lifestyle,Air Force 1,Unisex,6,Online,2,6114,20,9782.4
271,2025-03-14,India,Basketball,KD 16,Men,9,Online,2,7094,5,13478.6
272,2024-05-19,India,Basketball,LeBron 21,Unisex,10,Online,1,9052,10,8146.8
273,2025-05-28,Germany,Training,Air Zoom TR,Men,9,Online,2,13353,0,26706.0
274,2024-03-15,Germany,Training,Air Zoom TR,Men,11,Retail Store,1,8648,5,8215.6
275,2025-10-27,UK,Basketball,KD 16,Men,7,Retail Store,3,11807,20,28336.8
276,2025-09-21,UK,Lifestyle,Air Force 1,Men,7,Online,1,7683,0,7683.0
277,2025-04-15,Germany,Basketball,LeBron 21,Men,6,Retail Store,1,5971,5,5672.45
278,2025-01-21,Germany,Running,Air Zoom Alphafly,Men,7,Retail Store,2,8218,10,14792.4
279,2025-05-14,UK,Training,Air Zoom TR,Unisex,10,Retail Store,1,5671,10,5103.9
280,2024-02-23,UK,Running,Air Zoom Alphafly,Women,8,Online,1,11632,15,9887.2
281,2024-04-05,USA,Basketball,Air Jordan 1,Men,10,Retail Store,1,10092,20,8073.6
282,2025-09-15,UK,Basketball,LeBron 21,Women,11,Retail Store,1,10010,20,8008.0
283,2025-09-28,India,Lifestyle,Air Max 90,Unisex,9,Online,1,8637,0,8637.0
284,2025-09-08,USA,Training,Metcon 9,Men,8,Retail Store,2,10034,20,16054.4
285,2025-01-13,India,Training,Free Metcon,Men,9,Online,2,12457,20,19931.2
286,2025-02-14,India,Training,Air Zoom TR,Unisex,10,Online,3,10476,20,25142.4
287,2025-11-02,Germany,Basketball,LeBron 21,Men,9,Online,1,14286,10,12857.4
288,2024-08-29,India,Training,Air Zoom TR,Unisex,10,Retail Store,2,13079,15,22234.3
289,2025-07-28,USA,Running,React Infinity Run,Men,8,Online,2,7593,0,15186.0
290,2025-08-30,India,Basketball,KD 16,Unisex,6,Retail Store,1,5284,20,4227.2
291,2025-01-18,India,Training,Metcon 9,Unisex,8,Online,1,13174,10,11856.6
292,2024-10-31,Germany,Basketball,LeBron 21,Unisex,8,Retail Store,3,6787,10,18324.9
293,2025-11-03,USA,Training,Free Metcon,Women,9,Retail Store,3,11399,10,30777.3
294,2024-10-21,Germany,Running,Air Zoom Alphafly,Unisex,9,Online,1,12733,5,12096.35
295,2025-06-27,India,Running,Air Zoom Alphafly,Men,7,Retail Store,3,8522,0,25566.0
